"instan","classes","FSize","LCoef01","LCoef02","LCoef03","LCoef12","LCoef13","LCoef23","skew0","skew1","skew2","skew3","kurtosis0","kurtosis1","kurtosis2","kurtosis3","nCEntropy","entroC","toCorr","AdaBoostM1","Bagging","BayesNet","DecisionStump","DecisionTable","IBk","J48","JRip","KStar","LibSVM","LMT","Logistic","LogitBoost","LWL","MultilayerPerceptron","NaiveBayes","NaiveBayesUpdateable","OneR","PART","RandomCommittee","RandomForest","RandomTree","REPTree","SimpleLogistic","SMO","Stacking","Vote","ZeroR","CPUtime"
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2914.93286
4177,28,151.48,8.72e-09,-1.66e-06,1.57e-08,-1.66e-07,-3.36e-08,1.31e-07,0.172345702,0.174971889,-0.627860006,-2.447426811,-0.891558321,-1.71923234,-0.927349216,2.449471921,2.113109761,1.898389217,12.21630902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2915.39868
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915.4917
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2928.88672
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3347.14331
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402.04199
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3456.25439
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3497.14648
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3497.44971
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3537.0271
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3572.75781
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3572.93213
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3573.1001
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3573.25684
1950,50,74.568,-0.135345701,0.55531717,-0.00051156,-0.056438695,0.030368307,0.425513435,-1.692007038,0.688309668,-2.63560127,-0.061945171,-0.139803876,-0.664785583,1.700388122,0.003247919,3.302945943,3.069096526,11.3671796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3573.39966
