"dataset","instan","classes","FSize","LCoef01","LCoef02","LCoef03","LCoef12","LCoef13","LCoef23","skew0","skew1","skew2","skew3","kurtosis0","kurtosis1","kurtosis2","kurtosis3","nCEntropy","entroC","toCorr","Acc","SAR","Algorithm","runTime","CPUtime","usedMemory"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"42.81","14.62","Stacking","37","7144.63965","152.29034"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"95.8","32.54","LogitBoost","639","7145.271","449.08438"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"42.81","14.62","Vote","4","7145.27637","449.08438"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"95.3","32.37","DecisionTable","320","7145.59668","581.86719"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"97.29","33.05","JRip","987","7146.58154","343.93558"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"73.24","24.87","OneR","25","7146.60742","355.93204"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"79.34","27.01","LWL","9724","7143.58105","553.23364"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"94.35","32.05","BayesNet","83","7143.66211","587.92896"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"97.33","33.06","J48","130","7147.64502","535.88776"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"97.42","33.1","Bagging","511","7144.6001","125.72619"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"97.24","33.03","LibSVM","1172","7055.64697","331.90607"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"95.25","32.36","Logistic","830","7072.26611","444.75311"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"94.8","32.21","SimpleLogistic","6909","7079.12305","505.96503"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"93.31","31.66","SMO","459","7079.49707","62.92416"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"97.29","33.05","LMT","25955","7173.55762","341.1489"
"PCA4SensorDiscrimination",2212,3,81.296,-1.03538951714304e-14,2.17678292927852e-15,-1.15530513318755e-16,1.66400862550665e-15,3.13676653494319e-16,-3.47182388734214e-16,-0.18567381049156,-1.0766884057538,-0.416584010641794,-0.541552286308634,-0.960563473824408,2.50356380614198,-0.460370529951253,-0.188429340195926,0.455945749135996,1.05822116509733,8.12008618464042,"42.81","14.62","ZeroR","3","7146.61133","355.93204"
